Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,Summary,School
Cam'Ron Fletcher,11,SR,F,6-6,215.0,"St Louis, MO",Vashion HS,52 (2020),"13.9 Pts, 7.0 Reb, 1.0 Ast",High Point
Owen Aquino,8,SR,F,6-8,230.0,"Madrid, Spain",Real Madrid (Spain),,"9.3 Pts, 6.0 Reb, 2.5 Ast",High Point
Scotty Washington,12,SR,G,6-4,165.0,"Del Amo, CA",St. John Bosco HS,,"8.1 Pts, 2.7 Reb, 1.0 Ast",High Point
Braden Hausen,15,SO,F,6-7,213.0,"Amarillo, TX",Amarillo (TX),,"6.8 Pts, 2.9 Reb, 1.3 Ast",High Point
Chase Johnston,99,SR,G,6-2,185.0,"Boca Raton, FL",Westminster Academy,,"6.1 Pts, 0.9 Reb, 0.6 Ast",High Point
Vincent Brady,2,SR,G,6-4,185.0,"Indianapolis, IN",Cathedral (IN); Air Force Prep (CO),,"5.7 Pts, 2.2 Reb, 1.9 Ast",High Point
Caden Miller,7,FR,F,6-9,220.0,"Cincinnati, OH",Covington Catholic (KY),,"3.3 Pts, 2.4 Reb, 0.4 Ast",High Point
Josh Ibukunoluwa,19,SO,F,6-10,219.0,"Perth, Australia",Willetton Tigers (Australia); Orangeville Prep (ON),,"2.8 Pts, 2.0 Reb, 0.3 Ast",High Point
Youssouf Singare,24,JR,C,6-10,220.0,"Bamako, Mali",Our Saviour Lutheran (NY),,"1.6 Pts, 2.2 Reb, 0.1 Ast",High Point
Babacar Diallo,4,SR,F,6-6,195.0,"Dakar, Senegal",The Patrick School,,"2.3 Pts, 0.7 Reb, 0.6 Ast",High Point
David Fonville,35,SO,G,6-3,198.0,"Jacksonville, FL",Providence School (FL),,"0.5 Pts, 0.2 Reb, 0.2 Ast",High Point
Birgir Irving,14,SO,F,6-7,215.0,"Garðabær, Iceland",Rothesay Netherwood School (NB),,"0.3 Pts, 0.1 Reb, 0.1 Ast",High Point
Liam Carney,16,SR,G,6-6,205.0,"Minneapolis, MN",Providence Academy (MN),,,High Point
Dorian Grosber,10,FR,G,6-7,200.0,"Luxembourg, Luxembourg",,,,High Point
Kasen Krueger,23,FR,G,6-1,185.0,"Alamo, CA",Amador Valley (CA),,,High Point
Mavrick Miller,33,SO,G,6-4,180.0,"Memphis, TN",Houston (TN),,,High Point
Cruz Davis,5,SR,G,6-3,170.0,"Plano, TX",iSchool of Lewisville (TX); Huntington Prep (WV),,"21.1 Pts, 3.9 Reb, 4.7 Ast",Hofstra
Preston Edmead,1,FR,G,6-1,170.0,"Deer Park, NY",The Williston Northampton School (MA),,"15.2 Pts, 3.5 Reb, 4.8 Ast",Hofstra
James Patterson,0,SR,G,6-7,200.0,"Richmond, VA",Church Hill Academy (VA),,"9.5 Pts, 5.2 Reb, 0.4 Ast",Hofstra
German Plotnikov,25,SR,G,6-6,197.0,"Minsk, Belarus",Spring Creek Academy (TX),,"8.5 Pts, 3.2 Reb, 1.0 Ast",Hofstra
Joshua DeCady,4,SO,F,6-8,220.0,"Queens Village, NY",Archbishop Molloy (NY); Kimball Union Academy (NH),,"6.5 Pts, 3.4 Reb, 0.6 Ast",Hofstra
Silas Sunday,33,SR,F,7-0,290.0,"Lucan, Republic of Ireland",Our Saviour Lutheran (NY),,"5.4 Pts, 6.2 Reb, 0.7 Ast",Hofstra
Victory Onuetu,6,FR,F,6-10,235.0,"Malaga, Spain",IES Fuente Lucena (Spain),,"4.9 Pts, 7.6 Reb, 0.4 Ast",Hofstra
Jaeden Roberts,7,FR,G,6-3,160.0,"Boston, MA",Putnam Science Academy (CT),,"4.7 Pts, 0.9 Reb, 0.8 Ast",Hofstra
A.J. Wills,20,JR,G,6-2,165.0,"Richmond, VA",L.C. Bird (VA); Shining Stars Sports Academy (VA),,"3.3 Pts, 0.4 Reb, 0.8 Ast",Hofstra
Josh Reaves,15,SR,G,6-4,205.0,"Hamden, CT",South Kent School,,"2.4 Pts, 2.3 Reb, 0.1 Ast",Hofstra
Alex Tsynkevich,17,SR,C,6-10,235.0,"Minsk, Belarus",Spring Creek Academy (TX),,"0.9 Pts, 1.5 Reb, 0.1 Ast",Hofstra
Amir Williams,11,SO,G,6-4,195.0,"Newark, DE",Neumann Goretti (PA),,"1.3 Pts, 1.7 Reb, 0.0 Ast",Hofstra
Trey Boyd III,3,JR,G,6-4,185.0,"Durham, NC",South Kent School (CT),,,Hofstra
Carlos Lopez,8,JR,G,6-2,170.0,"Egg Harbor, NJ",Egg Harbor Township (NJ),,,Hofstra
Brandon Morgan,55,SR,G,6-4,180.0,"Greensboro, NC",Forsyth Country Day School (NC),,,Hofstra
Tyler Boston,0,SO,G,5-10,180.0,"Severn, MD",Bullis School (MD),,"13.7 Pts, 3.4 Reb, 3.3 Ast",Holy Cross
Gabe Warren,21,JR,G,6-6,205.0,"Plano, TX",John Paul II (TX); Dream City Christian (AZ),,"11.2 Pts, 4.2 Reb, 1.4 Ast",Holy Cross
Aiden Disu,12,FR,F,6-7,215.0,"Buda, TX",St. Michael's Prep (TX),,"10.8 Pts, 5.3 Reb, 0.9 Ast",Holy Cross
Joe Nugent,30,JR,F,6-6,220.0,"Berkley, MA",Tabor Academy (MA),,"11.8 Pts, 3.6 Reb, 0.7 Ast",Holy Cross
DeAndre Williams,2,JR,G,6-3,180.0,"Beacon, NY",St. Benedict's Prep (NJ),,"8.0 Pts, 3.3 Reb, 2.0 Ast",Holy Cross
Aidan Richard,23,SO,F,6-6,200.0,"San Antonio, TX",Ronald Reagan (TX),,"5.3 Pts, 4.2 Reb, 0.9 Ast",Holy Cross
John St. Germain,4,JR,G,6-1,192.0,"Charlottesville, VA",St. Anne's-Belfield (VA),,"4.4 Pts, 1.0 Reb, 0.9 Ast",Holy Cross
Declan Ryan,34,JR,F,6-8,250.0,"Buffalo, NY",Worcester Academy (MA),,"5.2 Pts, 2.2 Reb, 0.6 Ast",Holy Cross
Will Aljancic,1,JR,F,6-6,220.0,"Louisville, OH",Louisville (OH),,"3.1 Pts, 1.9 Reb, 0.3 Ast",Holy Cross
Chuck Hare,22,SO,F,6-10,224.0,"Shelton, CT",Kingswood Oxford (CT),,"2.3 Pts, 1.8 Reb, 0.1 Ast",Holy Cross
Jude Haigh,11,FR,G,6-5,195.0,"Altoona, PA",Bishop Guilfoyle (PA); Green Canyon (UT),,"1.8 Pts, 0.7 Reb, 0.3 Ast",Holy Cross
Jaden Kirkwood,5,SR,G,6-5,222.0,"Ottawa, Canada",Ashbury College (ON); IMG Academy (FL),,"0.6 Pts, 1.3 Reb, 0.5 Ast",Holy Cross
Tim Finau,15,FR,F,6-11,235.0,"Dallas, TX",Colleyville Heritage (TX); Athletes in Action Prep (OH),,"0.7 Pts, 0.9 Reb, 0.0 Ast",Holy Cross
Ben Capron,3,SR,G,6-0,160.0,"Phillipsburg, NJ",Phillipsburg (NJ),,"0.0 Pts, 0.0 Reb, 0.0 Ast",Holy Cross
Ethan Clark,25,FR,F,6-7,209.0,"Dartmouth, MA",Wilbraham and Monson Academy (MA),,"0.0 Pts, 0.7 Reb, 0.0 Ast",Holy Cross
Austin Mejia,33,SO,G,6-3,190.0,"Wayne, NJ",Regis (NY),,"0.0 Pts, 0.1 Reb, 0.1 Ast",Holy Cross
Kingston Flemings,4,FR,G,6-4,190.0,"San Antonio, TX",Brennan (TX),15 (2025),"16.6 Pts, 3.7 Reb, 5.3 Ast",Houston
Emanuel Sharp,21,SR,G,6-3,205.0,"Tampa, FL",Bishop McLaughlin (FL),,"16.5 Pts, 3.0 Reb, 2.0 Ast",Houston
Milos Uzan,7,SR,G,6-4,183.0,"Las Vegas, NV",Desert Pines (NV); Dream City Christian (AZ); Prolific Prep (CA),70 (2022),"11.2 Pts, 2.7 Reb, 4.1 Ast",Houston
Chris Cenac,5,FR,C,6-11,240.0,"New Orleans, LA",Newman (LA); Link Academy (MO),6 (2025),"9.5 Pts, 7.6 Reb, 0.9 Ast",Houston
Joseph Tugler,11,JR,F,6-7,230.0,"Houston, TX",Cypress Falls (TX),70 (2023),"7.6 Pts, 5.4 Reb, 1.1 Ast",Houston
Isiah Harwell,1,FR,G,6-6,220.0,"Pocatello, ID",Century (ID); Wasatch Academy (UT),12 (2025),"4.6 Pts, 2.5 Reb, 0.7 Ast",Houston
Mercy Miller,25,SO,G,6-4,200.0,"Sherman Oaks, CA","Minnehaha Academy (MN); Notre Dame (Sherman Oaks, CA)",41 (2024),"4.3 Pts, 1.4 Reb, 0.5 Ast",Houston
Chase McCarty,24,SO,F,6-6,220.0,"Huntsville, AL",Westminster Christian (AL),81 (2024),"3.0 Pts, 2.0 Reb, 0.2 Ast",Houston
Ramon Walker,3,SR,G,6-4,210.0,"Pearland, TX",Shadow Creek HS,,"2.7 Pts, 2.3 Reb, 0.5 Ast",Houston
Kalifa Sakho,14,SR,F,6-11,220.0,"Rouen, France",Limoges CSP (France),,"2.3 Pts, 2.8 Reb, 0.1 Ast",Houston
Cedric Lath,8,JR,C,6-9,265.0,"Abidjan, Côte d'Ivoire",Liberty (NV); Balboa School (CA),,"0.6 Pts, 0.7 Reb, 0.1 Ast",Houston
Kordelius Jefferson,0,SO,G,6-1,200.0,"Arlington, TX",James Martin (TX),,"1.3 Pts, 0.7 Reb, 0.3 Ast",Houston
Jacob McFarland,13,SO,C,6-10,210.0,"Moreno Valley, CA",Rancho Verde (CA),,"0.0 Pts, 1.5 Reb, 0.0 Ast",Houston
Bryce Jackson,6,FR,G,6-6,210.0,"Pearland, TX",Shadow Creek (TX),,,Houston
Kylin Green,3,SR,G,6-0,175.0,"Lewisville, TX",Lewisville (TX); Florida Coastal Prep (FL),,"10.3 Pts, 4.0 Reb, 4.7 Ast",Houston Christian
Demarco Bethea,23,SR,F,6-8,210.0,"Sellers, SC",Dillon (SC),,"9.6 Pts, 4.8 Reb, 1.4 Ast",Houston Christian
Demari Williams,0,JR,F,6-6,210.0,"Fulshear, TX",Dream City Christian HS,,"10.0 Pts, 3.3 Reb, 0.9 Ast",Houston Christian
Ryan Bartley,1,SR,G,6-6,182.0,"Decatur, IL",MacArthur (IL),,"9.0 Pts, 2.6 Reb, 1.1 Ast",Houston Christian
Trent Johnson,8,SR,F,6-7,185.0,"Cambridge, Canada",The RISE Centre Academy (Canada),,"8.6 Pts, 3.4 Reb, 2.3 Ast",Houston Christian
D'Aundre Samuels,5,JR,G,6-2,186.0,"Denver, CO",Denver East (CO),,"8.1 Pts, 3.1 Reb, 1.9 Ast",Houston Christian
Mambourou Mara,21,JR,F,6-6,190.0,"Conakry, Guinea",Royal Crown School (ON),,"5.2 Pts, 3.5 Reb, 0.8 Ast",Houston Christian
Elijah Brooks,4,SR,G,6-4,195.0,"Topeka, KS",Topeka West (KS),,"12.3 Pts, 4.5 Reb, 3.1 Ast",Houston Christian
Nehikhare Igiehon,7,SR,F,6-7,225.0,"Austin, TX",Clemens (TX),,"3.6 Pts, 2.2 Reb, 0.3 Ast",Houston Christian
Ahjany Lee,13,SR,F,6-9,215.0,"Byron, MN",Totino-Grace (MN),,"0.9 Pts, 0.8 Reb, 0.1 Ast",Houston Christian
Caleb Gaston,10,JR,F,6-7,220.0,"San Antonio, TX",MacArthur (TX),,"0.6 Pts, 0.6 Reb, 0.1 Ast",Houston Christian
Obadiah Curtis,9,SR,G,6-5,195.0,"Fresno, CA","Edison (Fresno, CA)",,"2.8 Pts, 1.8 Reb, 0.0 Ast",Houston Christian
Will Wilson,2,SR,G,6-3,215.0,"Lorton, VA",South County (VA),,"2.0 Pts, 0.0 Reb, 0.0 Ast",Houston Christian
Bryson Monroe,24,SR,G,6-1,190.0,"Brownwood, TX",Brownwood (TX),,"0.0 Pts, 0.1 Reb, 0.0 Ast",Houston Christian
Brennen Byrd,32,FR,F,6-6,205.0,"Coppell, TX",Grapevine Faith Christian (TX),,,Houston Christian
Bryce Harris,34,SR,G,6-4,220.0,"Brentwood, NY",Brentwood (NY); Greensboro Day School (NC); Putnam Science Academy (CT),,"17.3 Pts, 6.7 Reb, 2.4 Ast",Howard
Cedric Taylor,12,JR,G,6-7,210.0,"Atlanta, GA",Drew Charter (GA),,"17.1 Pts, 6.6 Reb, 3.3 Ast",Howard
Cam Gillus,2,JR,G,5-11,180.0,"Falls Church, VA",Sidwell Friends School (DC),,"9.8 Pts, 3.9 Reb, 4.4 Ast",Howard
Ose Okojie,11,SR,G,6-5,191.0,"Brampton, Canada",J Addison (ON); United Scholastic Academy (ON),,"9.6 Pts, 3.7 Reb, 1.7 Ast",Howard
Travelle Bryson,32,SO,F,6-5,185.0,"Anderson, SC",Hopewell (SC),,"9.2 Pts, 3.7 Reb, 0.9 Ast",Howard
Alex Cotton,4,JR,G,6-5,195.0,"Carrollton, TX",Hebron (TX),,"8.5 Pts, 3.3 Reb, 1.2 Ast",Howard
Danas Kazakevicius,13,FR,C,6-10,,"Vilnius, Lithuania",,,"4.7 Pts, 2.7 Reb, 1.2 Ast",Howard
Isaiah Brown,0,SO,G,6-1,170.0,"Ramsey, NJ",Don Bosco Prep (NJ),,"2.8 Pts, 1.2 Reb, 1.7 Ast",Howard
Calvin Robins,21,SO,,6-5,185.0,"Chicago, IL",Kenwood Academy (IL),,"1.8 Pts, 1.5 Reb, 0.1 Ast",Howard
Eddie Holland,23,SR,G,6-6,205.0,"Philadelphia, PA",Friends Central (PA),,"1.9 Pts, 2.1 Reb, 0.4 Ast",Howard
BJ Powell,3,FR,G,6-0,,"Charlotte, NC",Combine Academy (NC),,"1.7 Pts, 0.3 Reb, 0.3 Ast",Howard
Jeremiah Johnson,10,FR,G,6-3,,"Potomac, MD",Bullis School (MD),,"1.5 Pts, 0.8 Reb, 0.4 Ast",Howard
Julian Johnson,7,FR,F,6-9,,"Charlotte, NC",Providence Day School (NC),,"1.6 Pts, 0.9 Reb, 0.1 Ast",Howard
Shane Frazier,5,FR,G,6-5,,"Los Angeles, CA",Brentwood School (CA),,"1.0 Pts, 0.1 Reb, 0.1 Ast",Howard
Stefan Isailovic,1,FR,F,6-8,,"Belgrade, Serbia",,,"0.9 Pts, 0.5 Reb, 0.0 Ast",Howard
River Smith,9,FR,G,5-10,,"Englewood, NJ",Englewood (NJ),,"0.1 Pts, 0.3 Reb, 0.1 Ast",Howard
Kolton Mitchell,14,SO,G,6-1,175.0,"Coeur d'Alene, ID",Lake City (ID),,"13.9 Pts, 3.0 Reb, 4.0 Ast",Idaho
Jackson Rasmussen,12,FR,F,6-7,200.0,"Meridian, ID",Owyhee (ID); Utah Prep (UT),,"13.7 Pts, 4.4 Reb, 1.2 Ast",Idaho
Biko Johnson,3,SR,G,6-2,180.0,"Carson, CA",Narbonne (CA); King/Drew (CA),,"12.2 Pts, 3.5 Reb, 2.5 Ast",Idaho
Isaiah Brickner,5,SR,G,6-4,190.0,"San Diego, CA",Saint Augustine (CA); Sunrise Christian (KS),,"11.7 Pts, 3.7 Reb, 0.8 Ast",Idaho
Brody Rowbury,0,SR,F,6-11,290.0,"Meridian, ID",Meridian (ID); Sunrise Christian (KS),,"8.1 Pts, 5.4 Reb, 1.0 Ast",Idaho
Jack Payne,7,JR,G,6-6,195.0,"Boise, ID",Owyhee (ID),,"6.5 Pts, 4.4 Reb, 1.4 Ast",Idaho
Seth Joba,21,JR,F,6-9,225.0,"Orchard Park, NY",Orchard Park (NY); Bridgton Academy (ME),,"5.6 Pts, 3.8 Reb, 0.4 Ast",Idaho
Trevon Blassingame,1,SR,G,6-4,173.0,"Auburn, WA",Auburn (WA),,"3.5 Pts, 2.7 Reb, 0.7 Ast",Idaho
Miles Klapper,24,SO,G,6-3,185.0,"Hillsborough, CA",Juipero Serra (CA); Bridgton Academy (ME),,"3.9 Pts, 1.6 Reb, 0.8 Ast",Idaho
Aidan Sevilla,4,SR,G,6-0,180.0,"San Ramon, CA",Dougherty Valley (CA),,"1.6 Pts, 1.1 Reb, 0.7 Ast",Idaho
Ewan Steele,15,SO,F,6-9,220.0,"Alton, Canada",Orangeville District (ON); Our Lady of Victory (ON); Polaris Prep (ON),,"1.7 Pts, 1.7 Reb, 0.4 Ast",Idaho
Kristian Gonzalez,10,JR,G,6-3,180.0,"Chula Vista, CA",Mater Dei (CA),,"18.0 Pts, 1.0 Reb, 0.0 Ast",Idaho
Talon Jenkins,2,FR,G,6-7,,"Bellingham, WA",Meridian (WA),,,Idaho
William Jenson,34,FR,F,6-9,,"Bend, OR",Caldera (OR),,,Idaho
Tyler Linhardt,22,SR,F,6-7,220.0,"Seattle, WA",King's (WA),,,Idaho
Titus Yearout,11,SR,G,6-2,181.0,"Lapwai, ID",Lapwai (ID),,,Idaho
Connor Hollenbeck,10,SR,F,6-7,225.0,"Rapid City, SD",St. Thomas More (SD),,"13.3 Pts, 4.5 Reb, 1.5 Ast",Idaho State
Caleb Van De Griend,24,SR,F,6-8,250.0,"Bridgetown, Australia",Albany Christian College (Australia),,"12.0 Pts, 6.3 Reb, 0.6 Ast",Idaho State
Jamison Guerra,2,SR,G,6-0,200.0,"Sherwood, OR",Sherwood (OR),,"9.5 Pts, 2.3 Reb, 4.1 Ast",Idaho State
Martin Kheil,11,SO,G,6-4,200.0,"Jindrichuv Hradec, Czechia",Get Better Academy (Czechia),,"10.0 Pts, 2.4 Reb, 1.3 Ast",Idaho State
Lachlan Brewer,12,SO,G,6-6,190.0,"Tasmania, Australia",Riverside (Australia),,"8.3 Pts, 3.5 Reb, 1.3 Ast",Idaho State
Gus Etchison,0,SR,G,5-11,145.0,"Arcadia, IN",Hamilton Heights HS,,"7.2 Pts, 1.4 Reb, 1.7 Ast",Idaho State
Evan Otten,30,SO,C,6-11,220.0,"Redmond, OR",Redmond (OR),,"5.1 Pts, 3.9 Reb, 0.3 Ast",Idaho State
Blake Daberkow,32,SR,F,6-10,235.0,"Lincoln, NE",Pius X (NE),,"3.1 Pts, 1.5 Reb, 0.3 Ast",Idaho State
Cheikh Sow,5,SR,G,6-7,195.0,"Thies, Senegal",Colorado Prep (CO),,"3.1 Pts, 3.3 Reb, 0.4 Ast",Idaho State
Louis Bond,13,FR,G,6-5,185.0,"Los Angeles, CA",Windward (CA),,"3.7 Pts, 1.1 Reb, 0.6 Ast",Idaho State
Quin Patterson,21,SR,G,6-7,205.0,"Snoqualmie, WA",Mount Si (WA),,"1.4 Pts, 0.6 Reb, 0.1 Ast",Idaho State
Landen Birley,3,FR,G,6-4,170.0,"Yakima, WA",West Valley (WA),,"0.5 Pts, 0.3 Reb, 0.3 Ast",Idaho State
Jaedyn Brown,4,SO,G,6-4,175.0,"Pullman, WA",Pullman (WA),,"0.7 Pts, 0.3 Reb, 0.3 Ast",Idaho State
Kasen Carpenter,14,SR,G,6-5,190.0,"Rupert, ID",Minico (ID),,"0.1 Pts, 0.1 Reb, 0.0 Ast",Idaho State
Trey Arland,8,JR,G,6-7,190.0,"Kennewick, WA",Kamiakin (WA),,,Idaho State
Keaton Wagler,23,FR,G,6-6,185.0,"Shawnee, KS",Shawnee Mission Northwest (KS),,"18.1 Pts, 4.9 Reb, 4.3 Ast",Illinois
David Mirkovic,0,FR,F,6-9,250.0,"Nikšić, Montenegro",KK Studentski centar (Montenegro),,"13.1 Pts, 7.8 Reb, 2.6 Ast",Illinois
Andrej Stojakovic,2,JR,G,6-7,190.0,"Carmichael, CA",Carmichael Jesuit (CA),23 (2023),"14.0 Pts, 4.5 Reb, 1.1 Ast",Illinois
Kylan Boswell,4,SR,G,6-2,195.0,"Champaign, IL",Centennial (CA); AZ Compass Prep (AZ),,"13.9 Pts, 4.4 Reb, 3.6 Ast",Illinois
Tomislav Ivisic,13,SO,C,7-1,255.0,"Vodice, Croatia",SC Derby (Montenegro),,"10.5 Pts, 5.7 Reb, 1.6 Ast",Illinois
Zvonimir Ivisic,44,JR,F,7-2,234.0,"Vodice, Croatia",SC Derby (Montenegro),,"6.9 Pts, 5.1 Reb, 0.3 Ast",Illinois
Ben Humrichous,3,SR,F,6-9,220.0,"Tipton, IN",Tipton (IN),,"6.0 Pts, 4.2 Reb, 0.8 Ast",Illinois
Jake Davis,15,JR,F,6-6,210.0,"McCordsville, IN","Cathedral (Indianapolis, IN)",,"5.7 Pts, 2.1 Reb, 0.8 Ast",Illinois
Mihailo Petrovic,77,SO,G,6-3,180.0,"Prokuplje, Serbia",KK Partizan (Serbia); KK Dunav (Serbia); KK Borac Čačak (Serbia); KK Mega Basket (Serbia),,"2.1 Pts, 0.7 Reb, 1.3 Ast",Illinois
Brandon Lee,1,FR,G,6-4,195.0,"San Juan, Puerto Rico",The Patrick School (NJ),,"1.9 Pts, 0.4 Reb, 0.2 Ast",Illinois
Jason Jakstys,31,SO,F,6-10,210.0,"Yorkville, IL",Yorkville (IL),,"1.3 Pts, 1.9 Reb, 0.2 Ast",Illinois
AJ Redd,5,SR,G,6-3,170.0,"Chicago, IL",St. Ignatius (IL),,"1.0 Pts, 0.5 Reb, 0.0 Ast",Illinois
Blake Fagbemi,8,FR,G,6-0,180.0,"Naperville, IL",Benet Academy (IL),,"0.3 Pts, 1.3 Reb, 0.5 Ast",Illinois
Ty Rodgers,20,JR,G,6-6,200.0,"Saginaw, MI",Grand Blanc (MI); Thornton Township (IL),57 (2022),,Illinois
Chase Walker,35,JR,F,6-9,290.0,"Columbus, OH",St. Charles (OH),,"13.7 Pts, 5.4 Reb, 2.1 Ast",Illinois State
Johnny Kinziger,11,JR,G,5-11,165.0,"De Pere, WI",De Pere (WI),,"11.4 Pts, 2.5 Reb, 3.0 Ast",Illinois State
Ty'Reek Coleman,10,FR,G,6-2,175.0,"Aurora, IL",Waubonsie Valley (IL),,"11.0 Pts, 2.9 Reb, 2.0 Ast",Illinois State
Boden Skunberg,14,SR,G,6-5,205.0,"Jamestown, ND",Jamestown HS,,"10.1 Pts, 4.4 Reb, 1.4 Ast",Illinois State
Ty Pence,22,JR,G,6-6,210.0,"St. Joseph, IL",St. Joseph-Ogden (IL),,"9.2 Pts, 4.4 Reb, 1.8 Ast",Illinois State
Landon Wolf,4,JR,G,6-4,195.0,"Cedar Falls, IA",Cedar Falls HS,,"7.0 Pts, 5.0 Reb, 0.8 Ast",Illinois State
Mason Klabo,3,FR,G,6-2,180.0,"Fargo, ND",Fargo Davies (ND),,"5.7 Pts, 2.4 Reb, 1.2 Ast",Illinois State
Landon Moore,1,SR,G,6-3,200.0,"Bloomington, IL",Western Reserve Academy (OH),,"4.3 Pts, 1.4 Reb, 1.0 Ast",Illinois State
Brandon Lieb,12,SR,C,7-0,210.0,"Deerfield, IL",Deerfield HS,,"3.4 Pts, 4.5 Reb, 0.8 Ast",Illinois State
Jack Daugherty,0,SO,F,6-8,200.0,"Brookfield, WI",Brookfield Central (WI),,"2.8 Pts, 1.5 Reb, 0.2 Ast",Illinois State
Cameron Barnes,23,SO,F,6-9,195.0,"Duncanville, TX",Duncanville (TX),,"1.3 Pts, 1.8 Reb, 0.5 Ast",Illinois State
Ty Blake,13,JR,G,6-4,190.0,"Normal, IL","University (Normal, IL)",,"1.0 Pts, 0.3 Reb, 0.0 Ast",Illinois State
Nick Allen,15,FR,F,6-10,230.0,"Bourbonnais, IL",Bradley Bourbonnais (IL),,,Illinois State
Isaac Ericksen,2,FR,G,6-8,195.0,"Cary, NC",Green Level (NC),,,Illinois State
Ahmad Henderson,0,JR,G,5-9,155.0,"Chicago, IL",Brother Rice (IL),,"12.4 Pts, 1.6 Reb, 2.3 Ast",Illinois-Chicago
Andy Johnson,14,FR,G,6-6,197.0,"Union, KY",Cooper (KY),,"11.7 Pts, 3.6 Reb, 1.9 Ast",Illinois-Chicago
Mekhi Lowery,22,JR,G,6-6,200.0,"Bellwood, IL",Oswego East (IL),,"8.1 Pts, 5.8 Reb, 2.1 Ast",Illinois-Chicago
Rashund Washington,5,FR,G,6-5,197.0,"Dublin, GA",East Laurens (GA),,"7.9 Pts, 4.7 Reb, 0.9 Ast",Illinois-Chicago
Abdul Momoh,7,SR,F,6-7,235.0,"Carteret, NJ",The Patrick School,,"7.9 Pts, 3.8 Reb, 0.9 Ast",Illinois-Chicago
Josiah Hammons,10,SR,G,6-2,180.0,"Chicago, IL",Curie (IL),,"7.3 Pts, 1.2 Reb, 0.5 Ast",Illinois-Chicago
Elijah Crawford,2,SO,G,6-2,180.0,"Augusta, GA",Augusta Christian (GA); Brewster Academy (NH),,"12.0 Pts, 2.7 Reb, 4.4 Ast",Illinois-Chicago
Jayce Nathaniel,1,SO,F,6-9,200.0,"Buford, GA",Buford (GA); AZ Compass Prep (AZ),,"6.8 Pts, 4.6 Reb, 1.1 Ast",Illinois-Chicago
Ante Beljan,21,SR,F,6-8,220.0,"Trogir, Croatia",BC Zadar (Croatia),,"4.3 Pts, 1.3 Reb, 0.2 Ast",Illinois-Chicago
Sam Silverstein,20,SR,G,6-6,195.0,"Glencoe, IL",Northfield Mount Hermon School,,"2.9 Pts, 4.7 Reb, 1.9 Ast",Illinois-Chicago
Tai Walters-Whitaker,27,SR,G,6-2,195.0,"Flossmoor, IL",Homewood-Flossmoor (IL),,"0.9 Pts, 0.7 Reb, 1.0 Ast",Illinois-Chicago
Carlos Harris,3,SO,G,6-2,180.0,"Chicago, IL",Curie Metropolitan (IL),,"1.3 Pts, 0.3 Reb, 1.3 Ast",Illinois-Chicago
Nano Barrantes,4,FR,F,6-10,217.0,"Des Moines, IA",Grand View Christian (IA),,,Illinois-Chicago
AJ Morgan,25,FR,G,6-5,213.0,"Vernon Hills, IL",Vernon Hills (IL),,,Illinois-Chicago
Davion Bailey,5,SR,G,6-4,190.0,"Indianapolis, IN",Pike (IN),,"18.1 Pts, 3.1 Reb, 1.8 Ast",Incarnate Word
Tahj Staveskie,2,SR,G,6-0,165.0,"Sandusky, OH",Sandusky (OH); SPIRE Institute (OH),,"17.3 Pts, 4.0 Reb, 4.2 Ast",Incarnate Word
Jordan Pyke,7,JR,G,6-7,200.0,"Greensboro, NC",Shining Light Academy (NC),,"12.6 Pts, 5.1 Reb, 1.6 Ast",Incarnate Word
Harold Woods,10,SR,G,6-5,194.0,"Hammond, IN",Hammond (IN),,"8.5 Pts, 6.8 Reb, 1.4 Ast",Incarnate Word
Harrison Reede,6,SO,G,6-1,173.0,"Aberdeen, SD",Phhoenix Prep (AZ),,"5.2 Pts, 0.8 Reb, 0.1 Ast",Incarnate Word
Marcus Glover,8,SR,F,6-8,225.0,"Chicago, IL",Hillcrest (IL),,"3.9 Pts, 3.6 Reb, 0.6 Ast",Incarnate Word
Love Bettis,3,SR,G,6-0,160.0,"Pensacola, FL",J.M. Tate (FL),,"3.6 Pts, 0.7 Reb, 0.8 Ast",Incarnate Word
Jayden Williams,4,SO,C,6-9,230.0,"Chicago, IL",Bella Vista Prep (AZ),,"2.2 Pts, 2.1 Reb, 0.2 Ast",Incarnate Word
Esteban Mann,0,JR,,6-7,206.0,"Los Angeles, CA",Washington Prep (CA),,"2.0 Pts, 2.7 Reb, 0.2 Ast",Incarnate Word
Lewis Rowe,21,SR,C,6-10,260.0,"Adelaide, Australia",Prince Alfred College (Australia),,"1.8 Pts, 2.3 Reb, 1.0 Ast",Incarnate Word
Amani Drummond,99,SR,G,6-0,170.0,"Houston, TX",The Village School (TX),,"1.7 Pts, 0.8 Reb, 0.1 Ast",Incarnate Word
Mihael Tomic,9,FR,,6-9,225.0,"Zagreb, Croatia",Bosco Institute (IN),,"1.6 Pts, 1.7 Reb, 0.1 Ast",Incarnate Word
Drew Barbee,22,SO,G,6-3,200.0,"Mount Pleasant, MI",Mount Pleasant (MI),,"2.2 Pts, 1.8 Reb, 0.8 Ast",Incarnate Word
Tyler Simon,93,JR,G,6-5,187.0,"Houston, TX",Dream City Christian HS,,"0.0 Pts, 0.0 Reb, 0.0 Ast",Incarnate Word
